queue_rank,song_id,canonical_artist,canonical_title,first_release_year,dad_favorite_source_count,dad_source_count,appears_on_dad_favorite_source,popularity_score,popularity_status,recognition_status
238,S300128e4c3,Bob Dylan,Silvio,,1,1,1,,not_enriched,unreviewed
239,S3009d6c606,Kansas,Play the Game Tonight,,1,1,1,,not_enriched,unreviewed
240,S3018462c20,The Steve Miller Band,Sacrifice,,1,1,1,,not_enriched,unreviewed
241,S301bf6ea4a,"Crosby, Stills, Nash & Young",4 + 20,,1,1,1,,not_enriched,unreviewed
242,S3075f3a335,Billy Joel,The Longest Time,,1,1,1,,not_enriched,unreviewed
243,S31072dfb5c,Fleetwood Mac,Crystal,,1,1,1,,not_enriched,unreviewed
244,S3118c228b9,Gordon Lightfoot,Cotton Jenny,,1,1,1,,not_enriched,unreviewed
245,S315bdfbd62,Led Zeppelin,Four Sticks,,1,1,1,,not_enriched,unreviewed
246,S315f163ca2,The Byrds,Chimes of Freedom,,1,1,1,,not_enriched,unreviewed
247,S316a6eaefc,Bon Jovi,Livin’ on a Prayer,,1,1,1,,not_enriched,unreviewed
248,S3179b01dd3,Steve Miller Band,Take the Money and Run,,1,1,1,,not_enriched,unreviewed
249,S31af6c4cf1,Heart,Cook With Fire,,1,1,1,,not_enriched,unreviewed
250,S31cfc033ef,Paul McCartney & Wings,Let Me Roll It,,1,1,1,,not_enriched,unreviewed
251,S31efbfc0d3,The Beatles,And I Love Her,,1,1,1,,not_enriched,unreviewed
252,S320b031b71,The Cars,Moving in Stereo,,1,1,1,,not_enriched,unreviewed
253,S323c3d3339,Neil Diamond,This Time,,1,1,1,,not_enriched,unreviewed
254,S326f2d395f,Dire Straits,Down to the Waterline,,1,1,1,,not_enriched,unreviewed
255,S337bbbdbce,The Hollies,I Can’t Let Go,,1,1,1,,not_enriched,unreviewed
256,S3396657ab2,Roger Hodgson,Lovers in the Wind,,1,1,1,,not_enriched,unreviewed
257,S33b6d3b3d6,Fleetwood Mac,The Chain,,1,1,1,,not_enriched,unreviewed
258,S33d633a906,Bad Company,Electricland,,1,1,1,,not_enriched,unreviewed
259,S33ff1b5929,The Doobie Brothers,Flying Cloud,,1,1,1,,not_enriched,unreviewed
260,S341212c01c,Jimi Hendrix,Drifting,,1,1,1,,not_enriched,unreviewed
261,S3456647cdb,Loggins & Messina,Danny's Song,,1,1,1,,not_enriched,unreviewed
262,S349186fc9e,The Beatles,Sun King,,1,1,1,,not_enriched,unreviewed
263,S34bac8a1f7,Garth Brooks,American Honky-Tonk Bar Association,,1,1,1,,not_enriched,unreviewed
264,S34bb9e8e46,Bad Company,Untie the Knot,,1,1,1,,not_enriched,unreviewed
265,S34e4f4e981,Collective Soul,In a Moment,,1,1,1,,not_enriched,unreviewed
266,S3515a8bcf3,Neil Diamond,Headed for the Future,,1,1,1,,not_enriched,unreviewed
267,S3555674a20,Jackson Browne,Sleep's Dark and Silent Gate,,1,1,1,,not_enriched,unreviewed
268,S3560f1ec08,Bread,If,,1,1,1,,not_enriched,unreviewed
269,S3570d36552,Fleetwood Mac,"You and I, Part II",,1,1,1,,not_enriched,unreviewed
270,S3621f294b0,Paul McCartney,No More Lonely Nights,,1,1,1,,not_enriched,unreviewed
271,S36373098d6,The Beatles,I Want You (She's So Heavy),,1,1,1,,not_enriched,unreviewed
272,S3675f7ef8e,Peter Frampton,Shine On,,1,1,1,,not_enriched,unreviewed
273,S36e001ab8f,Sheryl Crow,Anything but Down,,1,1,1,,not_enriched,unreviewed
274,S37644b767b,Peter Gabriel,Sledgehammer,,1,1,1,,not_enriched,unreviewed
275,S37948025c0,Peter Frampton,Jumping Jack Flash,,1,1,1,,not_enriched,unreviewed
276,S37aaa290fe,Billy Joel,Leave a Tender Moment Alone,,1,1,1,,not_enriched,unreviewed
277,S37e499da55,Creedence Clearwater Revival,Someday Never Comes,,1,1,1,,not_enriched,unreviewed
278,S382195f18a,Paul McCartney & Wings,Picasso’s Last Words (Drink to Me),,1,1,1,,not_enriched,unreviewed
279,S383702c014,"Crosby, Stills & Nash",Marrakesh Express,,1,1,1,,not_enriched,unreviewed
280,S383deb32a2,The Beatles,Her Majesty,,1,1,1,,not_enriched,unreviewed
281,S389d38b3de,The Guess Who,No Time,,1,1,1,,not_enriched,unreviewed
282,S38dc2b230b,Alice in Chains,Nutshell,,1,1,1,,not_enriched,unreviewed
283,S39090bb119,The Beatles,While My Guitar Gently Weeps,,1,1,1,,not_enriched,unreviewed
284,S3929698ee0,Led Zeppelin,When the Levee Breaks,,1,1,1,,not_enriched,unreviewed
285,S39552f5edf,Collective Soul,Wasting Time,,1,1,1,,not_enriched,unreviewed
286,S3978607218,Paul McCartney,Rock Show,,1,1,1,,not_enriched,unreviewed
287,S397e76c0c4,Huey Lewis & the News,The Power of Love,,1,1,1,,not_enriched,unreviewed
288,S398e19b98b,Jackson Browne,Here Come Those Tears Again,,1,1,1,,not_enriched,unreviewed
